 BALANCE SHEET ,,,,,,,,,,
Report Date,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24
 Equity Share Capital ,195.87,197,197,191,375,375,370,366,366,362
 Reserves ,50438.89,70875,86017,84937,89071,83751,86063,88773,90058,90127
 Borrowings ,357.7,245,289,247,62,8174,7795,7818,7688,8021
 Other Liabilities ,22325.46,16974,15830,19751,24393,27820,35764,43967,44747,46962
 Total ,73317.92,88291,102333,105126,113901,120120,129992,140924,142859,145472
 Net Block ,11638.17,11774,11701,11973,12290,20928,21021,21298,20515,19604
 Capital Work in Progress ,2766.37,1670,1541,1278,963,906,926,1205,1234,1564
 Investments ,1661.78,22822,41980,36008,29330,26356,29373,30485,37163,31762
 Other Assets ,57251.6,52025,47111,55867,71318,71930,78672,87936,83947,92542
 Total ,73317.92,88291,102333,105126,113901,120120,129992,140924,142859,145472
 Receivables ,20437.94,24073,22617,24943,27346,30532,30079,41810,49954,53577
 Inventory ,16.07,16,21,26,10,5,8,20,28,28
 Cash & Bank ,18556.04,6788,4149,7161,12848,9666,9329,18221,11032,13286
 No. of Equity Shares ,1958727979,1970427941,1970427941,1914287591,3752384706,3752384706,3699051373,3659051373,3659051373,3618087518
 New Bonus Shares ,,,,,,,,,,
 Face value ,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
