 Quarters ,,,,,,,,,,
Report Date,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24
 Sales ,48885,50591,52758,55309,58229,59162,59381,59692,60583,61237
 Expenses ,35452,36746,39342,40793,42676,43388,44383,43946,44195,44073
 Other Income ,1205,981,789,965,520,1175,1397,1006,-96,1157
 Depreciation ,1196,1217,1230,1237,1269,1286,1243,1263,1233,1246
 Interest ,251,245,199,148,160,272,163,159,230,226
 Profit before tax ,13191,13364,12776,14096,14644,15391,14989,15330,14829,16849
 Tax ,3385,3405,3257,3631,3761,3955,3869,3950,3732,4347
 Net profit ,9769,9926,9478,10431,10846,11392,11074,11342,11058,12434
 Operating Profit ,13433,13845,13416,14516,15553,15774,14998,15746,16388,17164
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
